Unnamed: 0,company,line,departure_time,arrival_time,start_stop,end_stop,start_stop_lat_avg,start_stop_lot_avg,start_end_lat_avg,start_end_lot_avg
0,MPK Autobusy,A,20:52:00,20:53:00,Zajezdnia Obornicka,Paprotna,51.14873744,17.02106859,51.14775215,17.02053929
1,MPK Autobusy,A,20:53:00,20:54:00,Paprotna,Obornicka (Wołowska),51.14775215,17.02053929,51.144385,17.023735
2,MPK Autobusy,A,20:54:00,20:55:00,Obornicka (Wołowska),Bezpieczna,51.144385,17.023735,51.14136001,17.02637623
-1,MPK Autobusy,WOW,20:54:00,20:55:00,Obornicka (Wołowska),Poczta Główna,51.144385,17.023735,51.1078565,17.04563742
3,MPK Autobusy,A,20:55:00,20:57:00,Bezpieczna,Bałtycka,51.14136001,17.02637623,51.13663187,17.0306168
4,MPK Autobusy,A,20:57:00,20:59:00,Bałtycka,Broniewskiego,51.13663187,17.0306168,51.13585101,17.03738306
5,MPK Autobusy,A,20:59:00,21:00:00,Broniewskiego,Pola,51.13585101,17.03738306,51.13674862,17.04469823
6,MPK Autobusy,A,21:00:00,21:01:00,Pola,Syrokomli,51.13674862,17.04469823,51.137303,17.048892
7,MPK Autobusy,A,21:01:00,21:02:00,Syrokomli,Kasprowicza,51.137303,17.048892,51.13786515,17.05367076
8,MPK Autobusy,A,21:02:00,21:03:00,Kasprowicza,pl. Daniłowskiego,51.13786515,17.05367076,51.138667812,17.060145986000002
9,MPK Autobusy,A,21:03:00,21:04:00,pl. Daniłowskiego,Przybyszewskiego,51.138667812,17.060145986000002,51.14011673000001,17.06296696
10,MPK Autobusy,A,21:04:00,21:05:00,Przybyszewskiego,Czajkowskiego,51.14011673000001,17.06296696,51.13916433,17.06510721
11,MPK Autobusy,A,21:05:00,21:07:00,Czajkowskiego,KOSZAROWA (Uniwersytet),51.13916433,17.06510721,51.14049516,17.06847989
12,MPK Autobusy,A,21:07:00,21:08:00,KOSZAROWA (Uniwersytet),KOSZAROWA (Szpital),51.14049516,17.06847989,51.14166292,17.06477615
13,MPK Autobusy,A,21:10:00,21:12:00,KOSZAROWA (Szpital),pl. Daniłowskiego,51.14166292,17.06477615,51.138667812,17.060145986000002
14,MPK Autobusy,A,21:12:00,21:13:00,pl. Daniłowskiego,Berenta,51.138667812,17.060145986000002,51.135690399999994,17.05758668
15,MPK Autobusy,A,21:13:00,21:16:00,Berenta,KROMERA,51.135690399999994,17.05758668,51.13189089333334,17.062757143333332
16,MPK Autobusy,A,21:16:00,21:18:00,KROMERA,Mosty Warszawskie,51.13189089333334,17.062757143333332,51.12800137,17.05485837
17,MPK Autobusy,A,21:18:00,21:20:00,Mosty Warszawskie,Wyszyńskiego,51.12800137,17.05485837,51.12272019333333,17.052678846666666
18,MPK Autobusy,A,21:20:00,21:22:00,Wyszyńskiego,Ogród Botaniczny,51.12272019333333,17.052678846666666,51.11646431333333,17.05120622
19,MPK Autobusy,A,21:22:00,21:23:00,Ogród Botaniczny,Katedra,51.11646431333333,17.05120622,51.113663292,17.050227586
20,MPK Autobusy,A,21:23:00,21:24:00,Katedra,Urząd Wojewódzki (Muzeum Narodowe),51.113663292,17.050227586,51.110181225000005,17.04813622
21,MPK Autobusy,A,21:24:00,21:25:00,Urząd Wojewódzki (Muzeum Narodowe),Poczta Główna,51.110181225000005,17.04813622,51.1078565,17.04563742
22,MPK Autobusy,A,21:25:00,21:27:00,Poczta Główna,skwer Krasińskiego,51.1078565,17.04563742,51.1037645,17.041631
23,MPK Autobusy,A,21:27:00,21:28:00,skwer Krasińskiego,Wzgórze Partyzantów,51.1037645,17.041631,51.10378692,17.03849027
24,MPK Autobusy,A,21:28:00,21:30:00,Wzgórze Partyzantów,Renoma,51.10378692,17.03849027,51.10412651,17.03231779
25,MPK Autobusy,A,21:30:00,21:32:00,Renoma,Arkady (Capitol),51.10412651,17.03231779,51.10206463,17.02965217
26,MPK Autobusy,A,21:32:00,21:36:00,Arkady (Capitol),Pl. Hirszfelda,51.10206463,17.02965217,51.09415562,17.017146930000003
27,MPK Autobusy,A,21:36:00,21:38:00,Pl. Hirszfelda,Krucza,51.09415562,17.017146930000003,51.093505805,17.009150455
28,MPK Autobusy,A,21:38:00,21:39:00,Krucza,Krucza (Mielecka),51.093505805,17.009150455,51.093334085,17.00312889
29,MPK Autobusy,A,21:39:00,21:41:00,Krucza (Mielecka),Inżynierska,51.093334085,17.00312889,51.094654469999995,16.991573855
30,MPK Autobusy,A,21:41:00,21:43:00,Inżynierska,Aleja Pracy,51.094654469999995,16.991573855,51.09206411,16.985894875
31,MPK Autobusy,A,21:43:00,21:45:00,Aleja Pracy,FAT,51.09206411,16.985894875,51.093940965,16.979364475
32,MPK Autobusy,A,21:45:00,21:46:00,FAT,GRABISZYŃSKA (Cmentarz),51.093940965,16.979364475,51.089762735,16.97665212
